iter	RMSE
0	49.95415911
1	49.16951088
2	49.12737405
3	47.0099814
4	45.04892919
5	44.80998131
6	43.42129742
7	42.95042783
8	42.52184975
9	41.2145554
10	40.78845497
11	40.4698002
12	39.76092539
13	38.73016125
14	38.46503995
15	38.15717868
16	37.89680415
17	36.88700084
18	36.85492548
19	36.79515342
20	36.25590691
21	35.70090497
22	35.41451928
23	34.97944586
24	34.69444842
25	34.63351329
26	34.31179265
27	33.82165335
28	33.77383721
29	33.58727803
30	33.56152867
31	33.34722851
32	33.22377371
33	32.97192526
34	32.95949257
35	32.66683555
36	32.57000454
37	32.28065879
38	32.23855767
39	32.1685022
40	32.12622287
41	31.99724609
42	31.67368706
43	31.4068572
44	31.28790166
45	31.2233891
46	31.16486519
47	31.15270958
48	31.10277794
49	30.86207603
50	30.75704237
51	30.63097451
52	30.47301237
53	30.39062743
54	30.04047176
55	29.92262793
56	29.80871888
57	29.75314719
58	29.73985773
59	29.52653063
60	29.38374057
61	29.34968849
62	29.26064414
63	29.05706342
64	29.00461221
65	28.96189914
66	28.87767746
67	28.84026612
68	28.76487863
69	28.75528588
70	28.69342148
71	28.58232105
72	28.53218908
73	28.45579963
74	28.40040664
75	28.39389333
76	28.34547688
77	28.31087592
78	28.2256894
79	28.1905115
80	28.18011545
81	28.14762018
82	27.93411872
83	27.91424823
84	27.85914956
85	27.82929091
86	27.71092077
87	27.63662594
88	27.63239291
89	27.5428531
90	27.42342859
91	27.36043648
92	27.31608035
93	27.28668881
94	27.06925826
95	26.97777516
96	26.94539083
97	26.91514158
98	26.87492282
99	26.76552582
100	26.74420202
101	26.63647445
102	26.59941453
103	26.51376557
104	26.41766879
105	26.34483413
106	26.31396552
107	26.28511975
108	26.2636506
109	26.21161734
110	26.03569928
111	26.02182936
112	25.96635101
113	25.96480411
114	25.93498743
115	25.81596886
116	25.75900431
117	25.70160064
118	25.66326887
119	25.53559287
120	25.46194394
121	25.39585333
122	25.308973
123	25.23655377
124	25.20630528
125	25.13676522
126	25.05231149
127	24.98620775
128	24.9618382
129	24.90418252
130	24.835827
131	24.71507213
132	24.65530888
133	24.54687697
134	24.50702745
135	24.37192273
136	24.35009791
137	24.26021498
138	24.20305317
139	24.14802838
140	24.11280305
141	24.0892904
142	24.07032055
143	24.03236658
144	23.99587209
145	23.92005013
146	23.82420635
147	23.79497829
148	23.77194949
149	23.76680127
150	23.71584495
151	23.54330377
152	23.39847951
153	23.36249099
154	23.35786497
155	23.33564472
156	23.33157619
157	23.28312226
158	23.24151072
159	23.14576206
160	23.09465001
161	23.06951628
162	23.03248559
163	22.99571595
164	22.95825419
165	22.92296382
166	22.87916364
167	22.85232983
168	22.81979531
169	22.80348856
170	22.7969336
171	22.78891421
172	22.75339174
173	22.74776922
174	22.70153983
175	22.68485229
176	22.65556315
177	22.65072814
178	22.58403652
179	22.57187733
180	22.5534189
181	22.51495006
182	22.44261506
183	22.4362082
184	22.43029553
