iter	Passed	Remaining
0	4	4020
1	7	3726
2	14	4667
3	18	4576
4	21	4297
5	24	4076
6	28	3991
7	32	4066
8	37	4141
9	40	4003
10	42	3856
11	45	3762
12	49	3758
13	51	3657
14	54	3601
15	56	3481
16	58	3400
17	61	3381
18	63	3286
19	65	3210
20	68	3214
21	71	3167
22	74	3158
23	77	3135
24	79	3100
25	82	3081
26	84	3044
27	88	3063
28	90	3030
29	93	3012
30	95	2975
31	97	2947
32	99	2925
33	102	2903
34	103	2863
35	106	2851
36	108	2830
37	111	2826
38	114	2813
39	116	2798
40	118	2778
41	121	2763
42	123	2748
43	126	2745
44	128	2730
45	130	2714
46	133	2699
47	135	2691
48	138	2686
49	140	2676
50	143	2672
51	145	2658
52	148	2644
53	150	2636
54	152	2625
55	154	2610
56	157	2607
57	159	2595
58	161	2574
59	163	2564
60	166	2556
61	168	2543
62	170	2534
63	172	2523
64	174	2511
65	178	2521
66	180	2513
67	183	2511
68	185	2504
69	187	2497
70	190	2490
71	192	2482
72	195	2482
73	199	2490
74	201	2484
75	203	2477
76	206	2472
77	209	2470
78	211	2461
79	214	2464
80	217	2467
81	220	2471
82	223	2471
83	226	2472
84	229	2471
85	232	2467
86	235	2470
87	238	2468
88	240	2464
89	243	2465
90	246	2461
91	249	2459
92	251	2454
93	254	2455
94	257	2451
95	260	2450
96	262	2448
97	264	2438
98	268	2441
99	271	2442
100	274	2443
101	276	2438
102	279	2435
103	282	2432
104	284	2426
105	287	2421
106	290	2423
107	293	2420
108	295	2413
109	297	2409
110	300	2405
111	302	2400
112	305	2396
113	306	2383
114	309	2380
115	313	2386
116	315	2381
117	318	2379
118	321	2376
119	324	2377
120	327	2375
121	329	2371
122	332	2369
123	335	2366
124	337	2364
125	340	2361
126	342	2356
127	346	2359
128	348	2354
129	351	2349
130	353	2346
131	355	2340
132	358	2339
133	361	2335
134	365	2341
135	370	2356
136	375	2365
137	379	2367
138	386	2392
139	392	2410
140	395	2406
141	397	2400
142	400	2401
143	404	2403
144	406	2399
145	409	2395
146	411	2390
147	414	2385
148	417	2382
149	419	2375
150	421	2370
151	424	2366
152	426	2360
153	429	2357
154	431	2349
155	433	2343
156	435	2338
157	438	2334
158	441	2333
159	444	2334
160	447	2332
161	451	2333
162	453	2330
163	456	2326
164	459	2324
165	462	2321
166	464	2318
167	467	2315
168	469	2310
169	472	2307
170	475	2305
171	478	2304
172	481	2302
173	483	2296
174	485	2290
175	488	2286
176	491	2286
177	494	2282
178	496	2279
179	499	2274
180	502	2273
181	505	2270
182	507	2263
183	509	2258
184	511	2255
185	514	2252
186	517	2251
187	521	2252
188	525	2253
189	528	2251
190	530	2248
191	534	2248
192	536	2242
193	539	2239
194	541	2236
195	544	2231
196	546	2228
197	549	2225
198	552	2223
199	554	2218
200	556	2213
201	559	2208
202	561	2204
203	563	2199
204	565	2194
205	568	2189
206	570	2183
207	572	2178
208	574	2175
209	577	2173
210	579	2167
211	582	2163
212	584	2158
213	586	2154
214	589	2151
215	591	2146
216	593	2140
217	595	2135
218	597	2130
219	599	2125
220	601	2120
221	604	2118
222	607	2116
223	609	2112
224	611	2107
225	614	2103
226	616	2097
227	618	2093
228	620	2088
229	623	2086
230	625	2081
231	627	2076
232	629	2073
233	631	2068
234	634	2064
235	635	2058
236	638	2054
237	640	2051
238	642	2046
239	644	2041
240	646	2037
241	648	2032
242	650	2027
243	653	2023
244	655	2018
245	657	2014
246	659	2010
247	661	2006
248	663	2001
249	665	1997
250	667	1992
251	669	1986
252	671	1982
253	673	1978
254	675	1973
255	677	1969
256	680	1966
257	682	1962
258	684	1957
259	686	1953
260	688	1949
261	691	1946
262	693	1942
263	696	1940
264	698	1937
265	700	1932
266	702	1929
267	705	1926
268	708	1924
269	710	1921
270	713	1918
271	715	1916
272	718	1912
273	720	1909
274	722	1905
275	725	1902
276	727	1899
277	729	1895
278	732	1893
279	734	1889
280	737	1886
281	739	1882
282	741	1879
283	744	1876
284	746	1873
285	749	1870
286	751	1867
287	753	1863
288	755	1859
289	757	1855
290	760	1852
291	763	1850
292	765	1847
293	768	1845
294	771	1843
295	773	1840
296	776	1837
297	778	1834
298	781	1831
299	784	1829
300	786	1827
301	789	1824
302	792	1821
303	794	1819
304	796	1815
305	799	1812
306	801	1808
307	803	1806
308	806	1802
309	808	1799
310	811	1797
311	813	1793
312	815	1790
313	818	1787
314	820	1785
315	822	1781
316	825	1778
317	827	1775
318	829	1771
319	832	1768
320	834	1765
321	836	1762
322	839	1758
323	841	1755
324	843	1751
325	845	1748
326	848	1745
327	850	1742
328	852	1739
329	854	1735
330	857	1732
331	859	1728
332	861	1726
333	863	1722
334	866	1719
335	868	1715
336	870	1711
337	872	1708
338	874	1705
339	876	1701
340	878	1698
341	880	1694
342	883	1691
343	885	1688
344	887	1684
345	889	1681
346	892	1678
347	894	1676
348	896	1672
349	899	1670
350	901	1666
351	903	1663
352	906	1660
353	908	1658
354	910	1655
355	912	1651
356	915	1648
357	917	1644
358	919	1642
359	922	1639
360	924	1635
361	926	1632
362	928	1629
363	930	1626
364	932	1622
365	934	1619
366	937	1616
367	939	1613
368	941	1610
369	944	1607
370	946	1605
371	950	1604
372	952	1601
373	955	1598
374	957	1596
375	960	1593
376	962	1590
377	965	1588
378	967	1585
379	970	1582
380	972	1580
381	974	1577
382	977	1574
383	979	1571
384	982	1569
385	984	1566
386	987	1564
387	989	1561
388	992	1558
389	994	1556
390	997	1553
391	999	1550
392	1001	1547
393	1004	1544
394	1007	1542
395	1009	1539
396	1012	1537
397	1015	1535
398	1017	1532
399	1019	1529
400	1022	1526
401	1024	1524
402	1027	1521
403	1029	1518
404	1031	1516
405	1034	1513
406	1036	1510
407	1038	1507
408	1041	1504
409	1043	1501
410	1046	1499
411	1048	1496
412	1051	1494
413	1053	1491
414	1056	1488
415	1058	1486
416	1061	1483
417	1063	1480
418	1066	1479
419	1072	1481
420	1077	1481
421	1082	1482
422	1090	1487
423	1093	1485
424	1096	1483
425	1099	1481
426	1102	1479
427	1112	1486
428	1115	1484
429	1118	1482
430	1120	1479
431	1123	1476
432	1125	1474
433	1128	1471
434	1130	1468
435	1133	1466
436	1135	1463
437	1137	1460
438	1140	1458
439	1144	1457
440	1147	1454
441	1150	1451
442	1152	1448
443	1155	1447
444	1158	1444
445	1160	1441
446	1163	1438
447	1165	1435
448	1167	1432
449	1169	1429
450	1172	1426
451	1174	1423
452	1176	1421
453	1179	1417
454	1181	1415
455	1184	1412
456	1186	1409
457	1188	1406
458	1190	1403
459	1192	1400
460	1195	1397
461	1197	1394
462	1199	1391
463	1202	1389
464	1204	1386
465	1207	1383
466	1209	1380
467	1211	1377
468	1214	1375
469	1217	1372
470	1219	1369
471	1222	1367
472	1225	1365
473	1227	1362
474	1230	1360
475	1232	1357
476	1235	1354
477	1238	1352
478	1240	1349
479	1242	1346
480	1244	1342
481	1247	1340
482	1249	1337
483	1251	1334
484	1254	1332
485	1257	1329
486	1259	1327
487	1262	1324
488	1264	1321
489	1266	1318
490	1269	1315
491	1271	1313
492	1274	1310
493	1276	1307
494	1278	1304
495	1280	1300
496	1282	1297
497	1284	1294
498	1286	1291
499	1288	1288
500	1290	1285
501	1293	1283
502	1296	1280
503	1298	1278
504	1301	1275
505	1303	1272
506	1305	1269
507	1307	1266
508	1310	1263
509	1312	1261
510	1314	1258
511	1317	1255
512	1320	1253
513	1322	1250
514	1324	1247
515	1327	1245
516	1330	1243
517	1333	1240
518	1335	1237
519	1338	1235
520	1340	1232
521	1343	1230
522	1345	1226
523	1347	1224
524	1349	1221
525	1351	1218
526	1354	1215
527	1356	1212
528	1359	1210
529	1361	1207
530	1363	1204
531	1366	1201
532	1368	1199
533	1370	1196
534	1372	1193
535	1375	1190
536	1377	1187
537	1379	1184
538	1382	1182
539	1385	1180
540	1388	1177
541	1390	1175
542	1393	1172
543	1396	1170
544	1398	1167
545	1401	1165
546	1404	1163
547	1407	1161
548	1410	1158
549	1412	1155
550	1414	1152
551	1417	1150
552	1419	1147
553	1421	1144
554	1424	1141
555	1426	1139
556	1429	1136
557	1431	1134
558	1434	1131
559	1436	1128
560	1438	1125
561	1441	1123
562	1443	1120
563	1445	1117
564	1448	1114
565	1450	1112
566	1452	1109
567	1455	1106
568	1457	1104
569	1461	1102
570	1463	1099
571	1466	1097
572	1470	1095
573	1472	1093
574	1475	1090
575	1479	1089
576	1481	1086
577	1483	1083
578	1485	1080
579	1488	1077
580	1490	1074
581	1492	1072
582	1495	1069
583	1497	1066
584	1500	1064
585	1502	1061
586	1505	1059
587	1507	1056
588	1509	1053
589	1511	1050
590	1514	1047
591	1516	1045
592	1518	1042
593	1520	1039
594	1523	1036
595	1525	1033
596	1527	1031
597	1529	1028
598	1531	1025
599	1533	1022
600	1536	1020
601	1538	1017
602	1541	1015
603	1544	1012
604	1546	1009
605	1548	1006
606	1551	1004
607	1553	1001
608	1556	999
609	1558	996
610	1561	994
611	1563	991
612	1566	988
613	1569	986
614	1572	984
615	1574	981
616	1576	978
617	1579	976
618	1581	973
619	1584	970
620	1586	968
621	1588	965
622	1590	962
623	1593	959
624	1595	957
625	1597	954
626	1600	951
627	1602	949
628	1604	946
629	1607	943
630	1610	941
631	1612	938
632	1615	936
633	1617	934
634	1620	931
635	1622	928
636	1625	926
637	1628	923
638	1630	921
639	1633	918
640	1635	916
641	1638	913
642	1640	910
643	1643	908
644	1645	905
645	1647	903
646	1650	900
647	1652	897
648	1655	895
649	1657	892
650	1660	889
651	1662	887
652	1664	884
653	1667	882
654	1670	879
655	1672	877
656	1675	874
657	1677	871
658	1680	869
659	1682	866
660	1685	864
661	1688	861
662	1691	859
663	1693	857
664	1696	854
665	1699	852
666	1702	849
667	1705	847
668	1708	845
669	1711	842
670	1714	840
671	1717	838
672	1720	835
673	1722	833
674	1725	830
675	1728	828
676	1730	825
677	1733	823
678	1735	820
679	1738	818
680	1741	815
681	1744	813
682	1746	810
683	1749	808
684	1751	805
685	1756	804
686	1759	801
687	1761	798
688	1764	796
689	1766	793
690	1769	791
691	1772	788
692	1775	786
693	1778	784
694	1780	781
695	1783	778
696	1786	776
697	1789	774
698	1791	771
699	1794	769
700	1797	766
701	1799	763
702	1802	761
703	1804	758
704	1807	756
705	1810	753
706	1813	751
707	1815	748
708	1818	746
709	1822	744
710	1825	742
711	1828	739
712	1831	737
713	1834	734
714	1836	732
715	1839	729
716	1842	727
717	1844	724
718	1847	721
719	1849	719
720	1851	716
721	1853	713
722	1855	710
723	1857	708
724	1859	705
725	1861	702
726	1863	699
727	1866	697
728	1868	694
729	1870	691
730	1872	688
731	1874	686
732	1876	683
733	1878	680
734	1880	678
735	1885	676
736	1887	673
737	1889	670
738	1891	668
739	1893	665
740	1895	662
741	1897	659
742	1899	657
743	1901	654
